icao,name,fuels,availability,lat,lon,fuel_section
LFJY,CHAMBLEY,100LL|JET_A1|UL91,100LL=self_service|JET_A1=self_service|UL91=restricted,49.025556,5.876111,"← 10 - AVT : 100 LL : Paiements cartes TOTAL H24 / Payment TOTAL card H24. 100 LL, UL91 : O/R paiements par CB, cash, chèque / O/R payments by credit card, cash, cheque. JET A1 : Paiements / payments CB H24. O/R paiements par cash, chèque / O/R payments by cash, cheque. TEL : 03 29 89 30 10 ou / or 06 07 85 15 39."
LFLG,GRENOBLE LE VERSOUD,100LL|JET_A1|UL91,100LL=self_service|JET_A1=self_service|UL91=self_service,45.218056,5.848611,"10 - AVT : Carburant / Fuel : AVGAS 100LL - UL91 - JET A1. Lubrifiant / Lubricant : NIL. Libre service : H24 avec les cartes Air BP, Sterling Card pour AVGAS 100LL - UL91 - JET A1. H24 avec CB VISA et MASTERCARD pour UL91 uniquement. Service par agent avitailleur : AVGAS 100LL et JET A1 uniquement. Du 1er avril au 30 septembre : 0730-1045, 1230-1615. Du 1er octobre au 31 mars : 0800-1045, 1230-1545. Fermé le 25 décembre et le 1er janvier. Paiement par carte bancaire uniquement : Visa, Master Card, American Express. Self service : H24 with Air BP, Sterling cards for AVGAS 100LL - UL91 - JET A1. H24 with VISA and MASTERCARD for UL91 only. Service by fueller agent : AVGAS 100LL and JET A1 only. From april 1st to september 30th : 0730-1045, 1230-1615. From october 1st to march 31st : 0800-1045, 1230-1545. Closed on december 25th and january 1st. Payment by credit card only : Visa, Master Card, American Express."
LFLM,MACON CHARNAY,100LL|SUPER_PLUS,100LL=restricted|SUPER_PLUS=restricted,46.295833,4.795833,"10 - AVT : Carburants / Fuel : MAR-SAM : 0800-1100, 1230-1600 sauf jours feriés : - SANS PLOMB 98 et 100LL : paiement liquide, carte bancaire ou chèque - 100LL : tous les jours avec carte total. TUE-SAT: 0800-1100, 1230-1600 Except bank holidays. - UNLEADED 98 and 100LL : cash payment, credit card or cheque - 100LL : every day with total card."
LFLO,ROANNE,100LL|JET_A1|UL91,100LL=self_service|JET_A1=self_service|UL91=self_service,46.052778,3.999722,"← 10 - AVT : Carburants / Fuel : 100 LL, Jet A1, UL91 HOR AFIS / AFIS SKED Lubrifiants / Lubricants : NIL Paiement comptant, cartes bancaires, chèques / Cash, credit cards, cheques. Tous carburants / All fuels : CB H24 Exonération TIC uniquement en présence de RFFS / TIC exemption only in the presence of RFFS."
LFLP,ANNECY MEYTHET,100LL|JET_A1|UL_AERO,100LL=self_service|JET_A1=self_service|UL_AERO=self_service,45.930833,6.106389,"← 10 - AVT : Carburants / Fuel : 100 LL, UL Aéro Super +, électricité / electricity , JET A1, JET A1 SAF (suivre ligne 6 / follow line 6) Automates H24 envergure max 16 m : 100 LL, UL Aéro Super +, électricité (poste 61), JET A1 (paiement JET A1 automate par carte TotalEnergies uniquement) Self-Service H24 max span 16 m : 100 LL, UL Aéro Super +, electricity (stand 61), JET A1 (JET A1 self- service payment only with TotalEnergies card) Au poste 0800-1800 : JET A1 et JET A1 SAF (paiement JET A1 SAF par carte TotalEnergies ou Fuel release uniquement) On the stand 0800-1800 : JET A1 and JET A1 SAF (JET A1 SAF payment with TotalEnergies card or fuel release only) Carte TotalEnergies, VISA, MASTERCARD, espèces euros. TotalEnergies card, VISA, MASTERCARD, cash euros. TEL : 04 50 27 22 50 / 06 61 70 98 22."
LFLQ,MONTELIMAR ANCONE,UL91,UL91=restricted,44.580278,4.739167,"← 10 - AVT : AVGAS UL 91. HX : voir / see ACB de Montélimar. Quantité limitée / Limited quantities . Paiement comptant ou carte bancaire. Cash payment or credit card. Approvisionnement entre 0900 et 1700, uniquement sur RDV fixé la veille au 06 95 46 87 14 Refuelling : between 0900 and 1700, only with appointment the day before to + 33 (0)6 95 46 87 14"
LFLY,LYON BRON,100LL|JET_A1|UL_AERO,100LL=self_service|JET_A1=restricted|UL_AERO=restricted,45.729444,4.938889,"← 10 - AVT : Carburants / Fuel : UL AERO SUPER+ - 100 LL - JET A1 (TOTAL Energies et / and Air BP). 0630-2230, carte crédit, Eurochèques ou paiement comptant. Société SCAL : Hors HOR ouverture, TEL : 06 34 53 30 58 Carte TOTAL à la station 100LL : H24. JET A1 : TOTAL ou BP (Carte TOTAL ou Carte Sterling). S'adresser au comptoir ADL dans le Terminal ou contacter FREQ OPS. 0630-2230, credit card, Eurocheques or cash payment. SCAL company : outside opening SKED, TEL : 06 34 53 30 58 TOTAL Card for 100LL : H24. JET A1 : TOTAL or BP (TOTAL card or Sterling card). Contact ADL desk counter inside terminal or contact OPS FREQ."
LFMP,PERPIGNAN RIVESALTES,100LL|JET_A1|UL_AERO,100LL=self_service|JET_A1=restricted|UL_AERO=self_service,42.740833,2.869722,"10 - AVT : Carburant / Fuel : JET A1. 100LL/AVGAS et / and UL AERO SUPER + par automate en zone sud, proche hangar SABENA (roulettes indispensables pour hélicoptères) / by fuel dispenser in south area, close to hangar SABENA (necessary wheels for HEL). LUN-SAM / MON-SAT : 0500-2000, DIM / SUN : 0630-2000. Autres HOR O/R avant 1900 / Outside these SKED O/R before 1900. TEL : 04 68 61 28 14. AMDT 11/25 © Service de l'Information Aéronautique, France AIP FRANCE AD 2 LFMP TXT 06 02 OCT 2025 PERPIGNAN RIVESALTES"
LFMV,AVIGNON CAUMONT,100LL|JET_A1|UL_AERO,100LL=restricted|JET_A1=restricted|UL_AERO=restricted,43.906667,4.901944,"10 - AVT : Carburants / Fuel : AVGAS 100 LL - UL AERO SUPER+ - JET A1 – Lubrifiants / Lubricants : NIL. LUN-VEN / MON-FRI : ETE / SUM : 0500-1900, HIV / WIN : 0600-1930. SAM / SAT : 0630-1730. DIM / SUN : 0730-1830. Automate / Dispenser AVGAS 100LL (envergure MAX / MAX span 15 m) - UL AERO SUPER+ (envergure MAX / MAX span 10 m) : HOR AVT uniquement, paiement espèces, carte TOTAL et carte bancaire / AVT SKED only, payment by cash, TOTAL card and credit card. Hors HOR / Outside these SKED : TEL gestionnaire d'AD / AD operator."
LFMW,CASTELNAUDARY VILLENEUVE,SUPER_PLUS|UL91,SUPER_PLUS=restricted|UL91=restricted,43.311111,1.920000,"10 - AVT : Carburant / Fuel : SP98 UL 91, Lubrifiant / Lubricant : NIL. (CIV-MIL) HOR ACB - Bons ENAC et MIL ou paiement comptant. ENAC and MIL vouchers or cash payment. Contacter l'ACB auparavant / Contact ACB in advance."
LFNA,GAP TALLARD,100LL|JET_A1|UL91,100LL=self_service|JET_A1=restricted|UL91=self_service,44.453889,6.036667,"10 - AVT : Carburants / Fuel : 100LL - JET A1 - UL 91. HIV / WIN : 0800-1115, 1230-1530 - ETE / SUM : 0800-1115, 1230-1630. Paiement comptant, carte bancaire / Cash payment, credit card. Hors HOR, 100LL et UL 91 disponible par automate carte bancaire / Outside SKED, 100L and UL 91 available by credit card automatic dispenser. TEL : Exploitant AD / AD operator."
LFNE,SALON EYGUIERES,100LL|SUPER_PLUS,100LL=restricted|SUPER_PLUS=restricted,43.657500,5.012778,10 - AVT : (CIV) Carburant / Fuel : 100 LL SP98 - Lubrifiants / Lubricants : NIL O/R PPR - TEL : 06 80 72 97 11.
LFNH,CARPENTRAS,100LL|UL91,100LL=unknown|UL91=unknown,44.022500,5.090000,"10 - AVT : Carburants / Fuel : AVGAS 100 LL, UL 91. Lubrifiants / Lubricants : NIL."
LFNJ,ASPRES SUR BUECH,UL91,UL91=self_service,44.517778,5.736111,← 10 - AVT : Carburant / Fuel : UL 91. Station automatique : carte bancaire uniquement / Automatic fuel dispenser : credit card only.
LFOF,ALENCON VALFRAMBERT,UL91,UL91=unknown,48.446667,0.108333,10 - AVT : Carburant / Fuel : UL 91.
LFOI,ABBEVILLE,100LL|UL91,100LL=restricted|UL91=restricted,50.142222,1.831111,"10 - AVT : 100 LL et / and UL91 - Lubrifiant / Lubricant : NIL - HX. Paiement par CB, chèque, espèces / Payment with credit card, check, cash."
LFPE,MEAUX ESBLY,100LL|UL91,100LL=self_service|UL91=self_service,48.926944,2.833889,"10 - AVT : Carburant / Fuel: 100 LL, UL 91. Lubrifiants / Lubricants: NIL. Paiements : carte TOTAL H24, espèces, chèques . Payment: TOTAL card H24, cash, cheque . Tous les jours sauf LUN et VEN : HOR ACB 1300-1700 ou O/R en dehors de ces horaires PPR 24 HR. All days except MON and FRI: ACB SKED 1300-1700 or O/R outside these SKED PPR 24 HR. Contacter / Contact ACB ACE - TEL : 01 60 04 26 27."
LFPF,BEYNES THIVERVAL,UL91,UL91=unknown,48.842778,1.907500,10 - AVT : Carburant / Fuel : UL91 Lubrifiant / Lubricant : NIL.
LFPL,LOGNES EMERAINVILLE,100LL|JET_A1|UL_AERO,100LL=self_service|JET_A1=self_service|UL_AERO=self_service,48.821944,2.622778,"10 - AVT : Carburants / Fuel : 100 LL - JET A1 - UL AERO SUPER +. Lubrifiants / Lubricants : NIL. Paiement / Payment : Carte TOTAL / TOTAL card H24. Espèces, CB, Visa ou Mastercard / Cash, CB, Visa or Mastercard. ETE / SUM : 0730-1030, 1200-1600. HIV / WIN : 0830-1130, 1300-1600. TEL : 01 60 05 37 24."
LFQD,ARRAS ROCLINCOURT,100LL|SUPER_PLUS,100LL=restricted|SUPER_PLUS=restricted,50.323889,2.802778,10 - AVT : Carburant / Fuel : SP 98 et / and 100LL. Lubrifiant / Lubricant : Yacco 2 et 4 temps / Yacco 2 & 4 stroke oil. 1400-1900 sauf DIM et JF / 1400-1900 except SUN and public HOL. TEL : 06 83 01 41 09 ou / or 06 87 80 34 65.
LFQJ,MAUBEUGE ELESMES,100LL|UL_AERO,100LL=self_service|UL_AERO=self_service,50.308333,4.030000,← 10 - AVT : Carburants / Fuel : 100LL - UL AEROSUPER + . Pompe automatique. Paiement comptant - CB / Cash payment - credit card. ← Avitaillement 100LL et UL AEROSUPER + limité aux aéronefs d'envergure inférieure ou égale à 12 m. / 100LL and UL AEROSUPER + refuelling limited to ACFT with wingspan smaller than or equal to 12 m. Autres envergures après accord de l'exploitant. / Other wingspans after prior agreement of AD operator. Tel : 06 95 62 61 66. Lubrifiant / Lubricant : NIL.
LFQY,SAVERNE STEINBOURG,SUPER_PLUS,SUPER_PLUS=restricted,48.753333,7.425833,10 - AVT : Carburant / Fuel : 98 SP / 98 unleaded - HX – Paiement comptant / Cash payment.
LFRS,NANTES ATLANTIQUE,JET_A1|UL91,JET_A1=unknown|UL91=unknown,47.156944,-1.607778,"← 10 - AVT : Carburants / Fuel : UL91, JET A1 - Lubrifiants / Lubricants : NIL"
LFSA,BESANCON THISE,SUPER_PLUS,SUPER_PLUS=restricted,47.273611,6.083056,← 10 - AVT : Carburant SP 98 réservé aux aéronefs basés. Lubrifiant : NIL.
LFSH,HAGUENAU,100LL|UL91,100LL=restricted|UL91=restricted,48.796944,7.819167,"10 - AVT : Carburant / Fuel : 100 LL, UL91 O/R TEL : ACB. Lubrifiants / Lubricants : qualité aviation (CIV) HOR ACB paiement comptant / aviation quality (CIV) ACB SKED cash payment."
LFTF,CUERS PIERREFEU,100LL|AKI93|JET_A1,100LL=restricted|AKI93=restricted|JET_A1=restricted,43.247500,6.127222,"10 - AVT : Carburant / Fuel : F 34 (MIL) - JET A 1, 100 LL, AKI93 (CIV) Lubrifiants / Oil : NIL MIL : O/R 4 H CIV : 0700-1000, 1200-1700 (été / summer) ; 0700-1100, 1300-1700 (hiver / winter) H24 si paiement par CB / H24 if ayment by credit card HEL : accès uniquement tractés / towed access only"
LFXU,LES MUREAUX,100LL|UL91,100LL=restricted|UL91=restricted,48.998611,1.941667,10 - AVT : Carburant / Fuel : 100 LL : se renseigner auprès de / see ACB Roger Janin ; UL 91 : se renseigner auprès de / see ACB Roger Janin. Paiement comptant ou carte de credit TOTAL / Cash payment or TOTAL credit card.
