icao,name,fuels,availability,lat,lon,fuel_section,error
LFBL,LIMOGES BELLEGARDE,100LL|JET_A1,100LL=restricted|JET_A1=restricted,45.860833,1.180278,"10 - AVT : Carburant / Fuel : 100LL - JET A1 (CIV-MIL), Lubrifiant / Lubricant : NIL. Paiement comptant, cartes BP, cartes VISA, MASTERCARD, AMERICAN EXPRESS, DINERS CLUB, SIGNATURE et US GOVERNMENT R CARD. Cash payment, BP cards, VISA, MASTERCARD, AMERICAN EXPRESS, DINERS CLUB, SIGNATURE and US GOVERNMENT R CARD. HOR / SKED : voir NOTAM publié / see NOTAM published.",
LFBN,NIORT MARAIS POITEVIN,100LL|JET_A1,100LL=restricted|JET_A1=restricted,46.313333,-0.394444,"10 - AVT : Carburants / Fuel : - 100LL : pistolet / fuel pistol , - JET A1 : pistolet (mise sous pression sur demande) / fuel pistol (pressurization on request). ← Paiements : - Carte TOTAL et CB H24 et 7/7 j - espèces, fuel release : pendant HOR ATS ou sur PPR 2 HR TEL astreinte. ← Payments : - TOTAL card and credit card 24/7 - cash, fuel release : during ATS SKED or with PPR 2 HR via on-call TEL.",
LFBO,TOULOUSE BLAGNAC,JET_A1,JET_A1=self_service,43.635000,1.367778,"← 10 - AVT : Fournisseurs / Providers : SASCA et / and WORLD FUEL SERVICES. SASCA : HOR / SKED : H24. Carburants / Fuel : JET A1. Lubrifiants / Lubricants : Aéro 80-80D-100-100D. Aéro DM. Paiement : cartes TOTAL et BP. / Payment : TOTAL and BP cards. WORLD FUEL SERVICES : HOR / SKED : 0400-2200 (ETE / SUM : -1 HR) En dehors de ces HOR / Outside these SKED : AVT O/R PN 45 min. Carburants / Fuel : JET A1. Lubrifiants / Lubricants : NIL. Paiement / Payment : AVCARD, Carte WFS / WFS card , UVAIR, COLT TEL : 06 59 75 11 77",
LFBP,PAU PYRENEES,100LL|JET_A1,100LL=self_service|JET_A1=restricted,43.380000,-0.418611,"10 - AVT : Carburants / Fuel : 100 LL - JET A1 (CIV-MIL) - F34 AG (MIL). 0430-2000. En dehors de ces HOR O/R PN 1 HR TEL : 05 59 33 33 36. E-mail : airbppuf@outlook.fr. Distributeur automatique 100LL carte AIR BP. Carte bleue, VISA, AMEX, MASTERCARD soumises au déplacement d'un opérateur; délai éventuel à prévoir. Espèces : 750 € maximum. 0430-2000. Outside these SKED O/R PN 1 HR TEL : 05 59 33 33 36. E-mail : airbppuf@outlook.fr. Automatic dispenser 100LL AIR BP card. Carte bleue, VISA, AMEX, MASTERCARD subject to the movement of an operator; possible delay to foresee. Cash payment: max 750 €.",
LFBR,MURET LHERM,100LL,100LL=self_service,43.449167,1.263611,"10 - AVT : 100 LL. Lubrifiant / Lubricant 80 : (CIV-MIL) ETE / SUM : 0800-1100, 1400-1800. HIV / WIN : 0800-1200, 1400-1900. Paiement : comptant, chèque, CB, espèces, automate carte TOTAL - (Assuré par ACB Clément ADER). Payment : cash,cheque, credit card, TOTAL card - (provided by ACB Clément ADER).",
LFBS,BISCARROSSE PARENTIS,100LL,100LL=unknown,44.368056,-1.132222,10 - AVT : Carburants / Fuel : 100 LL - Carte TOTAL uniquement / TOTAL card only.,
LFBT,TARBES LOURDES PYRENEES,100LL|JET_A1,100LL=self_service|JET_A1=self_service,43.185556,-0.002778,"← 10 - AVT : Carburants / Fuel : 100LL - Jet A1. HOR ouvrables / working SKED : - du / from 01/04 au / to 31/10 : 0300-1900 (selon trafic / depending on traffic). - du / from 01/11 au / to 31/03 : 0400-1800 (selon trafic / depending on traffic). En dehors de ces HOR : O/R PN 1 HR pour avions non programmés. Outside these SKED : O/R PN 1HR for non scheduled ACFT. Station auto-service H24 (Aviation Générale) / H24 self-service station (General Aviation). TEL : +33 5 62 92 53 08 (Dépôt / Depot ) +33 6 30 68 81 37 (portable Dépôt / Depot mobil phone ) +33 6 72 14 35 21 (Responsable / Manager ) +33 7 88 45 60 82 (Astreinte en HOR non ouvrables / On-call during non working SKED ). E-mail : lde.gpo-a@wfscorp.com Information sur / on FREQ : 131.465 MHz. Paiement : carte bancaire, carte WFS Fuel Contract, AVCARD, UVAIR, espèces (max 750 €). Payment : credit card, WFS Fuel Contract card, AVCARD, UVAIR, cash (max 750 €). Autres / Other : faire demande d'avitaillement à / request refuelling from f",
LFBU,ANGOULEME BRIE CHAMPNIERS,100LL|JET_A1,100LL=restricted|JET_A1=restricted,45.729444,0.219167,"← 10 - AVT : Carburants / Fuel : 100 LL – JET A1 Air BP, Lubrifiants / Lubricants : NIL HOR / SKED : LUN-VEN / MON-FRI : 0800-1700. Paiement comptant, Cartes bancaires ou carte BP - JF et en dehors de ces HOR ATS : Automate carte BP (envergure max 15 m). Cash payment, Credit card or BP card - Public HOL and outside ATS SKED : Fuel dispenser with BP card (max wing span 15 m). Utilisation de la borne d'appel d'urgence de la station d'avitaillement : uniquement HOR ATS. Hors HOR ATS : appeler le 112 ou le 18. Use of emergency call box of fuel station : only during ATS SKED. Outside ATS SKED, call 112 or 18. © Service de l'Information Aéronautique, France AMDT 08/26 AD 2 LFBU TXT 03 AIP FRANCE 09 JUL 2026 ANGOULEME BRIE CHAMPNIERS",
LFBX,PERIGUEUX BASSILLAC,100LL|JET_A1,100LL=self_service|JET_A1=restricted,45.197500,0.815278,"← 10 - AVT : AVGAS 100 LL : H24 7/7 - Automate carte bancaire seulement / credit card dispenser only. JET A1 : HOR ATS / ATS SKED - Paiement carte VISA, chèque, espèces et cartes brokers (WFS, AEGFUELS, JETEX, AVFUEL, G-OPS, TITAN AVIATION FUELS) / by VISA card, cheque, cash or brokers card (WFS, AEGFUELS, JETEX, AVFUEL, G-OPS, TITAN AVIATION FUELS).",
LFBY,DAX SEYRESSE,100LL|UL91,100LL=restricted|UL91=restricted,43.689167,-1.068889,10 - AVT : Carburants sur demande / Fuel on request : MIL : F34 - CIV : 100 LL - UL 91 Paiement / Payment : - MIL : Carte SCALP / SCALP Card  05 58 35 93 34 - CIV : Espèces ou chèque bancaire / Cash or cheque  05 58 74 14 20,
LFBZ,BIARRITZ PAYS BASQUE,100LL|JET_A1,100LL=self_service|JET_A1=restricted,43.468333,-1.531111,"← 10 - AVT : Carburants / Fuel : 100 LL* - JET A1. ACFT sous contrat / ACFT under contract. Cartes de crédit / Credit cards : VISA, MASTERCARD, AMEX, BP, SIGNATURE. (1500 euros MAX, au-delà avec PPR / beyond this with PPR au / on 06 21 00 90 39). Paiement espèces / Cash payment : (1000 euros MAX). HOR : 0500-2100 - HN : O/R avant / before 2000 - TEL : 05 59 23 62 49 - FAX : 05 59 23 62 88. *AVT 100 LL : Automate uniquement avec carte de crédit BP. Pour HEL, accès à l'installation uniquement par roulage. Peut ne pas être assuré aux ACFT de plus de 13 m d'envergure. Autre moyen de paiement O/R au 05 59 23 62 49 ou à partir du téléphone disponible à la pompe. *AVT 100 LL : Automatic dispenser only with BP credit card. For HEL, installation access only by taxiing. May not be provided to ACFT whose wingspan is greater than 13 m. Other means of payment O/R to 05 59 23 62 49 or from phone available at fuel pump.",
LFCA,CHATELLERAULT TARGE,100LL,100LL=restricted,46.780278,0.550556,"10 - AVT : Carburant / Fuel 100 LL HX - TEL : 05 49 21 00 82 Chèques français / French cheques, Cartes Bancaires / Credit Card.",
LFCB,BAGNERES DE LUCHON,100LL,100LL=restricted,42.800556,0.601111,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiant / Lubricant : 80 - 100 HJ. Paiement comptant uniquement / Cash payment only.,
LFCC,CAHORS LALBENQUE,100LL|JET_A1,100LL=restricted|JET_A1=restricted,44.350556,1.478611,"10 - AVT : HOR ATS / ATS SKED - Carburant / Fuel : Station Total 100 LL (pistolet). Automate H24 pour les détenteurs de la carte TOTAL, autres paiements acceptés uniquement pendant les HOR AVT. / 100 LL (nozzle). Automatic dispenser for TOTAL card holders, other payments only during AVT SKED. JET A1 (pistolet ou coupling) uniquement pendant les heures AVT (CIV-MIL). / JET A1 (nozzle or connector) only during AVT SKED (CIV-MIL). Paiement : espèces, carte crédit, carte TOTAL, chèques, carte SEA AEG FUEL (MIL). / Payment : cash, credit card, TOTAL card, cheques, SEA AEG FUEL card (MIL). - Lubrifiant / Lubricant : NIL.",
LFCD,ANDERNOS LES BAINS,100LL,100LL=restricted,44.755000,-1.065000,"10 - AVT : Carburant / Fuel : 100 LL CIV : HX, O/R ACB, paiement comptant , CB, chèque / cash payment , credit card, cheque. Lubrifiants / Lubricants : NIL.",
LFCE,GUERET SAINT LAURENT,100LL,100LL=restricted,46.175556,1.953056,← 10 - AVT : Carburant / Fuel 100LL. Paiement comptant ou carte bancaire / Cash payment or credit card. PPR auprès de l'exploitant d'aérodrome. PPR from AD operator. Lubrifiants / Lubricant : NIL.,
LFCF,FIGEAC LIVERNON,100LL,100LL=restricted,44.672500,1.788056,"10 - AVT : 100 LL : HX. Paiement par chèque, espèces. Payment by cheques, cash.",
LFCG,SAINT GIRONS ANTICHAN,100LL,100LL=unknown,43.007778,1.103056,10 - AVT : Carburant / Fuel : 100LL. Lubrifiant / Lubricant : W 80. Paiement en espèce ou en CB / Cash or credit card payment,
LFCH,ARCACHON LA TESTE DE BUCH,100LL|JET_A1|UL_AERO,100LL=self_service|JET_A1=restricted|UL_AERO=self_service,44.596944,-1.113889,"← 10 - AVT : Carburant / Fuel : UL AERO SUPER+, 100LL, JET A1. AVT automatique disponible avec carte TOTAL et CB (uniquement 100LL et AERO SUPER+). Automatic fuel dispenser available with TOTAL card and Credit Card (only for 100LL and AERO SUPER+). Non porteurs de carte, contacter la TWR pendant les HOR suivants : Non-card holders, contact TWR during the following SKED : 15 APR - 15 SEP : 0830-1045, 1300-1700 16 SEP - 14 APR : 0800-1045, 1315-1530.",
LFCI,ALBI LE SEQUESTRE,100LL|JET_A1,100LL=self_service|JET_A1=self_service,43.913333,2.116667,"10 - AVT : Carburants / Fuel : 100 LL - JET A1. Lubrifiant / Lubricant : NIL . Automate H24 (carte AIR TOTAL) / Automaton station H24 (AIR TOTAL card). HOR ATS : espèces ou carte bancaire acceptées / Cash payment or credit card accepted. En dehors de ces HOR, PPR PN 24 HR / Outside these SKED, PPR PN 24 HR. TEL : 05 63 49 15 27 (CIV - MIL).",
LFCJ,JONZAC NEULLES,100LL|JET_A1,100LL=restricted|JET_A1=restricted,45.483056,-0.423056,10 - AVT : Carburant / Fuel : 100 LL - JET A1 - Carte TOTAL / TOTAL card. Paiement en espèces possible avec PPR / Cash payment is possible upon PPR.,
LFCK,CASTRES MAZAMET,100LL|JET_A1,100LL=restricted|JET_A1=restricted,43.555000,2.290556,"10 - AVT : Carburants / Fuel : 100 LL, JET A1 - Lubrifiants / Lubricants : NIL. HOR RFFS uniquement / RFFS SKED only. Paiement : CB, Carte BP / Payment : credit Card, BP card.",
LFCL,TOULOUSE LASBORDES,100LL|UL91,100LL=self_service|UL91=self_service,43.587778,1.498611,"← 10 - AVT : 100 LL, UL91 H24 par carte TOTAL ou carte bancaire / H24 for TOTAL or credit card.",
LFCM,MILLAU LARZAC,100LL,100LL=self_service,43.989167,3.183333,"10 - AVT : Carburants / Fuel : 100LL. Lubrifiants / Lubricants : NIL. Automate H24, carte TOTAL / H24 dispenser, TOTAL credit card.",
LFCN,NOGARO,100LL,100LL=self_service,43.768889,-0.034722,10 - AVT : Carburant / Fuel : 100LL sans automate / no automatic dispenser Lubrifiant / Lubricant : 80 (CIV-MIL) HJ. Paiement comptant ou carte crédit TOTAL / Cash payment or TOTAL credit card.,
LFCO,OLORON HERRERE,100LL,100LL=restricted,43.164722,-0.560278,10 - AVT : Carburant / Fuel : 100LL ; voir HOR ACB / see ACB SKED.,
LFCP,PONS AVY,100LL,100LL=restricted,45.565833,-0.513611,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiants / Lubricants : NIL. (CIV - MIL) HJ - Paiement comptant par chèque ou espèces. Payment in cash or cheque.,
LFCQ,GRAULHET MONTDRAGON,100LL,100LL=self_service,43.768611,2.007778,"10 - AVT : Carburant / Fuel : 100 LL. Station automatique H24 (carte TOTAL). Paiement comptant, chèque / Cash payment, cheque. O/R ACB de Graulhet PN 48 HR MNM. Inscription sur/ Registration on : https://www.aeroclub-graulhet.com/informations-generaleslfcq/",
LFCR,RODEZ AVEYRON,100LL|JET_A1,100LL=self_service|JET_A1=restricted,44.407500,2.483333,"← 10 - AVT : Horaires d'ouverture : voir NOTAM / Opening hours : see NOTAM. JET A1 disponible durant les horaires d'ouverture du service avitaillement. En dehors de ces heures l'avitaillement peut être fourni sur PPR 48HR par e-mail : handling@aeroport-rodez.fr / JET A1 available during refueling service SKED. Outside of these SKED refueling may be provided on PPR 48HR by e- mail : handling@aeroport-rodez.fr AVGAS automate disponible avec carte TOTAL seulement / AVGAS automate available with TOTAL card only. Durant les heures d'ouverture du service avitaillement : paiement en carte de crédit disponible / During refueling service SKED : credit card payment available. En dehors des heures d'ouverture du service avitaillement : automate carte TOTAL seulement / Outside refueling service SKED : TOTAL card ATM only. Carburants / Fuel : JET A1 (CIV-MIL), AVGASS 100LL. Lubrifiants / Lubricants : NIL. Paiement : espèces, carte AIR-TOTAL, CB VISA, MASTERCARD, AMEX. Payment : cash, AIR-TOTAL card",
LFCS,BORDEAUX LEOGNAN SAUCATS,100LL|UL91,100LL=restricted|UL91=restricted,44.699167,-0.597222,10 - AVT : 100 LL/UL 91 PPR 06 77 63 68 41. Carte de crédit / Credit card Lubrifiants / Lubricants : NIL.,
LFCT,THOUARS,,,46.961944,-0.152778,10 - AVT : Carburant / Fuel : NIL. Pas de fourniture de lubrifiant / No supply of lubricant (CIV-MIL) HX. O/R ACB.,
LFCU,USSEL THALAMY,100LL|SUPER_PLUS,100LL=restricted|SUPER_PLUS=restricted,45.535833,2.424722,"10 - AVT : Carburant / Fuel 100 LL. SP 98 HX. Paiement comptant ou par chèque / Cheque or cash payment. PPR pour la délivrance des carburants et paiement comptant, chèque ou carte bleue. PPR for fuel delivery and cash payment, cheque or credit card.",
LFCV,VILLEFRANCHE DE ROUERGUE,100LL|SUPER_PLUS,100LL=restricted|SUPER_PLUS=restricted,44.368889,2.026944,"← 10 - AVT : Carburant / Fuel : 100LL, SP 98 - Lubrifiant / Lubricant : D 80 (CIV MIL). HJ sur / on PPR ACB.",
LFCW,VILLENEUVE SUR LOT,100LL,100LL=self_service,44.399167,0.759444,10 - AVT : Carburant / Fuel 100 LL - Lubrifiants / Lubricant : NIL. HX chèque ou espèces (contact ACB au préalable) / cheques or cash (prior contact ACB). H 24 carte TOTAL (automate) / TOTAL card (automatic dispenser).,
LFCX,CASTELSARRASIN MOISSAC,100LL,100LL=self_service,44.085833,1.126944,10 - AVT : Carburant / Fuel : 100 LL. Automate par carte bancaire H24. / Automatic dispenser with credit card H24.,
LFCY,ROYAN MEDIS,100LL|JET_A1,100LL=self_service|JET_A1=restricted,45.631111,-0.975556,"10 - AVT : Automate 100LL : carte TOTAL et CB H24 / 100LL automatic dispenser: TOTAL card and credit card H24. Automate Jet A1 : carte TOTAL H24, ou CB pendant HOR ATS / Jet A1 automatic dispenser : TOTAL card H24, or credit card accepted ATS SKED only. Borne de recharge électrique / Electric charging station.",
LFCZ,MIMIZAN ASSOLLANT LEFEVRE ET LOTTI,100LL,100LL=self_service,44.145833,-1.164722,"10 - AVT : Carburant / Fuel : 100 LL H24 Paiement, cartes de crédit VISA, MASTERCARD. Cash, credit cards VISA, MASTERCARD.",
LFDA,AIRE SUR L'ADOUR,UL91,UL91=unknown,43.708611,-0.247222,10 - AVT : Carburant / Fuel : UL91. TEL : 07 82 77 32 56. Paiement : Carte Bancaire / Payment : Credit Card.,
LFDB,MONTAUBAN,100LL,100LL=self_service,44.026667,1.376944,"10 - AVT : Carburant / Fuel : 100 LL. Lubrifiant assuré en dépannage / Lubricant : emergency supply only (AERO DM 15W50) 0800-1100, 1300-1800. CB Visa Mastercard (Automate 100 LL) / Credit Card Visa Mastercard (Fuel dispenser 100 LL) MIL : TRO - F34 uniquement / only. PPR du / from 9ème RSAM - TEL : 05 63 91 37 03.",
LFDC,MONTENDRE MARCILLAC,UL91,UL91=restricted,45.273611,-0.453333,"10 - AVT : Carburant / Fuel UL 91 seulement / only : 0800-1100, 1300-1700. Paiement par chèque, carte de crédit ou en espèces / Cheques, credit card or cash payment.",
LFDE,EGLETONS,UL91,UL91=restricted,45.420556,2.067778,10 - AVT : Carburant / Fuel: UL 91 HX. Paiement comptant carte bancaire uniquement / Card only. Gestion Aéroclub / ACB management : TEL : 05 55 93 09 50. Lubrifiant / Lubricant: NIL.,
LFDF,SAINTE FOY LA GRANDE,100LL,100LL=restricted,44.852500,0.175556,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiant / Lubricant : 80. (CIV-MIL) O/R : ACB Cercle Aéronautique Foyen Paiement comptant / Cash payment .,
LFDG,GAILLAC LISLE SUR TARN,,,43.883056,1.874167,10 - AVT : NIL.,
LFDH,AUCH GERS,100LL|JET_A1,100LL=self_service|JET_A1=self_service,43.686944,0.600000,"10 - AVT : Carburant / Fuel 100 LL - JET A1 (CIV-MIL) - Lubrifiants / Lubricants : NIL. Station automatique TPV carte TOTAL / Automatic station TPV TOTAL card : H24. HOR ATS : carte de credit VISA, Mastercard ou paiement comptant. PPR en dehors de ces HOR. ATS SKED : VISA credit card, Mastercard or cash payment. PPR outside these SKED.",
LFDI,LIBOURNE ARTIGUES DE LUSSAC,100LL,100LL=restricted,44.984167,-0.137222,"← 10 - AVT : 100 LL (CIV-MIL). LUN-VEN / MON-FRI 0800-1600, O/R PN 48 HR par TEL exploitant / by TEL operator. Paiement : par virement ou internet (www.payfip.gouv.fr), pas d'espèces ni de chèque. Payment : by transfer or internet (www.payfip.gouv.fr), no cash, no cheque.",
LFDJ,PAMIERS LES PUJOLS,100LL|JET_A1,100LL=self_service|JET_A1=self_service,43.090556,1.695833,"10 - AVT : Carburants : 100 LL. AVGAS, JET A1. Station automatisée TPV carte TOTAL. Lubrifiant : NIL. HOR AFIS. Paiement carte TOTAL, chèques français, paiement en espèces accepté. Fuel : 100 LL, AVGAS, JET A1. Automatic station TPV TOTAL card. Lubricant: NIL. AFIS SKED. Payment: TOTAL card, French cheque, cash.",
