icao,name,fuels,lat,lon,avt_excerpt,error
LFAY,AMIENS GLISY,100LL,49.873056,2.386944,10 - AVT : 100 LL : paiement par carte Total (automate). Autres paiements acceptés CB et espèces à l'ACB de Picardie. TEL ACB. 100 LL : Payment by Total card (automatic dispenser). Other payments accepted credit card and cash to Picardie ACB. TEL ACB.,
LFBA,AGEN LA GARENNE,100LL|JET_A1,44.174722,0.590556,"10 - AVT : Carburants / Fuel : 100LL, JET A1 (CIV-MIL) Lubrifiants / Lubricants : NIL. Automate H24 avec carte TOTAL uniquement ou possibilité d'assistance pendant HOR RFFS. En dehors des HOR RFFS : possibilité d'assistance PPR PN 48 HR. / Automatic dispenser with TOTAL credit card only or possible ",
LFBD,BORDEAUX MERIGNAC,100LL,44.828611,-0.715278,← 10 - AVT : Carburants / Fuel : (CIV-MIL) 100 LL-TRO TOTAL : AVGAS 100LL (par automate aire JULIET / via dispenser JULIET area ). Lubrifiants / Lubricants : 100 - 120 - D100 - Turbo oil 23/80 et / and 274 (MIL) MIL : O/R durant ouverture BA 106 / During AFB 106 activity : Carburants / Fuel : F34 - ,
LFBE,BERGERAC DORDOGNE PERIGORD,100LL|JET_A1,44.824444,0.520556,"10 - AVT : Carburants / Fuel : 100 LL : automate H24 - JET A1 (CIV-MIL) : ETE / SUM : 0700-1600, HIV / WIN : 0800-1600. TEL : 05 53 22 25 23 - FAX : 05 53 24 35 43. Paiement par carte de crédit ou carte WFS. Payment by credit card or WFS card.",
LFBF,TOULOUSE FRANCAZAL,JET_A1,43.549167,1.357222,"10 - AVT : Carburants / Fuel : Jet A1 : LUN-VEN / MON-FRI : 0700-1630, SAM-DIM-JF / SAT-SUN-HOL : O/R Pour tout avitaillement contacter le RFFS / For fuelling, contact RFFS. Paiement CB, cartes AEG ou WFS, fuel release AEG ou WFS. / Payment by credit card, AEG or WFS cards, AEG or WFS fuel release .",
LFBG,COGNAC CHATEAUBERNARD,,45.658333,-0.317500,10 - AVT : Carburant / Fuel : F18 - F34 - F35 O/R Lubrifiants / Oil : O135 - O155 - H515 HOR ATS et permanence téléphonique 30 MIN / ATS SKED and duty phone 30 MIN,
LFBH,LA ROCHELLE ILE DE RE,100LL|JET_A1,46.179167,-1.195278,"10 - AVT : Carburants / Fuel : 100LL, JET A1. ETE : LUN-VEN : 0500-1000, 1200-1730 - SAM, DIM, JF : 0700-1000, 1200-1730. SUM : MON-FRI : 0500-1000, 1200-1730 - SAT, SUN, public HOL : 0700-1000, 1200-1730. HIV / WIN : 0800-1100, 1300-1730. Sans interruption pour les vols commerciaux programmés / Non",
LFBI,POITIERS BIARD,JET_A1,46.587500,0.306667,"← 10 - AVT : Carburant / Fuel : SEALAPB / Air BP. JET A1 (CIV-MIL) : HOR voir NOTAM. En dehors de ces HOR et pour vols commerciaux assistés uniquement, sur PPR 24 HR. - AVGAS : idem JET A1 sauf carte Air BP avec code pour le distributeur automatique. JET A1 (CIV - MIL) : SKED see NOTAM. Outside thes",
LFBJ,SAINT JUNIEN,,45.902500,0.918889,10 - AVT : NIL.,
LFBK,MONTLUCON GUERET,100LL,46.226111,2.362778,10 - AVT : Carburants / Fuel : 100 LL Automate par carte TOTAL H24. Automatic dispenser by TOTAL card.,
LFBL,LIMOGES BELLEGARDE,100LL|JET_A1,45.860833,1.180278,"10 - AVT : Carburant / Fuel : 100LL - JET A1 (CIV-MIL), Lubrifiant / Lubricant : NIL. Paiement comptant, cartes BP, cartes VISA, MASTERCARD, AMERICAN EXPRESS, DINERS CLUB, SIGNATURE et US GOVERNMENT R CARD. Cash payment, BP cards, VISA, MASTERCARD, AMERICAN EXPRESS, DINERS CLUB, SIGNATURE and US GOV",
LFBN,NIORT MARAIS POITEVIN,100LL|JET_A1,46.313333,-0.394444,"10 - AVT : Carburants / Fuel : - 100LL : pistolet / fuel pistol , - JET A1 : pistolet (mise sous pression sur demande) / fuel pistol (pressurization on request). Paiements : - Carte de crédit TOTAL H 24 et 7/7 j - espèces et CB : pendant HOR ATS ou sur PPR 2 HR TEL astreinte. Payments : - TOTAL cred",
LFBO,TOULOUSE BLAGNAC,JET_A1,43.635000,1.367778,← 10 - AVT : Fournisseurs / Providers : SASCA et / and WORLD FUEL SERVICES. SASCA : HOR / SKED : H24. Carburants / Fuel : JET A1. Lubrifiants / Lubricants : Aéro 80-80D-100-100D. Aéro DM. Paiement : cartes TOTAL et BP. / Payment : TOTAL and BP cards. WORLD FUEL SERVICES : HOR / SKED : 0400-2200 (ETE,
LFBP,PAU PYRENEES,100LL|JET_A1,43.380000,-0.418611,"10 - AVT : Carburants / Fuel : 100 LL - JET A1 (CIV-MIL) - F34 AG (MIL). 0430-2000. En dehors de ces HOR O/R PN 1 HR TEL : 05 59 33 33 36. E-mail : airbppuf@outlook.fr. Distributeur automatique 100LL carte AIR BP. Carte bleue, VISA, AMEX, MASTERCARD soumises au déplacement d'un opérateur; délai éven",
LFBR,MURET LHERM,100LL,43.449167,1.263611,"10 - AVT : 100 LL. Lubrifiant / Lubricant 80 : (CIV-MIL) ETE / SUM : 0800-1100, 1400-1800. HIV / WIN : 0800-1200, 1400-1900. Paiement : comptant, chèque, CB, espèces, automate carte TOTAL - (Assuré par ACB Clément ADER). Payment : cash,cheque, credit card, TOTAL card - (provided by ACB Clément ADER)",
LFBS,BISCARROSSE PARENTIS,100LL,44.368056,-1.132222,10 - AVT : Carburants / Fuel : 100 LL - Carte TOTAL uniquement / TOTAL card only.,
LFBT,TARBES LOURDES PYRENEES,100LL|JET_A1,43.185556,-0.002778,← 10 - AVT : Carburants / Fuel : 100LL - Jet A1. HOR ouvrables / working SKED : - du / from 01/04 au / to 31/10 : 0300-1900 (selon trafic / depending on traffic). - du / from 01/11 au / to 31/03 : 0400-1800 (selon trafic / depending on traffic). En dehors de ces HOR : O/R PN 1 HR pour avions non pro,
LFBU,ANGOULEME BRIE CHAMPNIERS,100LL|JET_A1,45.729444,0.219167,"10 - AVT : Carburants / Fuel : 100 LL – JET A1 Air BP, Lubrifiants / Lubricants : NIL HOR / SKED : LUN-VEN / MON-FRI : 0800-1700. SAM, JF / SAT, HOL : 0900-1700. Paiement comptant, Cartes bancaires ou carte BP - Hors HOR ATS : Automate carte BP. Cash payment, Credit card or BP card - Outside ATS SKE",
LFBX,PERIGUEUX BASSILLAC,100LL|JET_A1,45.197500,0.815278,"10 - AVT : AVGAS 100 LL : Automate TOTAL / TOTAL dispenser H 24. JET A1 : HOR ATS / ATS SKED, paiement carte TOTAL, carte de crédit VISA, chèques ou espèces / TOTAL card, VISA card, cheques and cash payment.",
LFBY,DAX SEYRESSE,100LL|UL91,43.689167,-1.068889,10 - AVT : Carburants sur demande / Fuel on request : MIL : F34 - CIV : 100 LL - UL 91 Paiement / Payment : - MIL : Carte SCALP / SCALP Card  05 58 35 93 34 - CIV : Espèces ou chèque bancaire / Cash or cheque  05 58 74 14 20,
LFBZ,BIARRITZ PAYS BASQUE,100LL|JET_A1,43.468333,-1.531111,"← 10 - AVT : Carburants / Fuel : 100 LL* - JET A1. ACFT sous contrat / ACFT under contract. Cartes de crédit / Credit cards : VISA, MASTERCARD, AMEX, BP, SIGNATURE. (1500 euros MAX, au-delà avec PPR / beyond this with PPR au / on 06 21 00 90 39). Paiement espèces / Cash payment : (1000 euros MAX). H",
LFCA,CHATELLERAULT TARGE,100LL,46.780278,0.550556,"10 - AVT : Carburant / Fuel 100 LL HX - TEL : 05 49 21 00 82 Chèques français / French cheques, Cartes Bancaires / Credit Card.",
LFCB,BAGNERES DE LUCHON,100LL,42.800556,0.601111,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiant / Lubricant : 80 - 100 HJ. Paiement comptant uniquement / Cash payment only.,
LFCC,CAHORS LALBENQUE,100LL|JET_A1,44.350556,1.478611,"10 - AVT : HOR ATS / ATS SKED - Carburant / Fuel : Station Total 100 LL (pistolet). Automate H24 pour les détenteurs de la carte TOTAL, autres paiements acceptés uniquement pendant les HOR AVT. / 100 LL (nozzle). Automatic dispenser for TOTAL card holders, other payments only during AVT SKED. JET A1",
LFCD,ANDERNOS LES BAINS,100LL,44.755000,-1.065000,"10 - AVT : Carburant / Fuel : 100 LL CIV : HX, O/R ACB, paiement comptant , CB, chèque / cash payment , credit card, cheque. Lubrifiants / Lubricants : NIL.",
LFCE,GUERET SAINT LAURENT,100LL,46.175556,1.953056,← 10 - AVT : Carburant / Fuel 100LL. Paiement comptant ou carte bancaire / Cash payment or credit card. PPR auprès de l'exploitant d'aérodrome. PPR from AD operator. Lubrifiants / Lubricant : NIL.,
LFCF,FIGEAC LIVERNON,100LL,44.672500,1.788056,"10 - AVT : 100 LL : HX. Paiement par chèque, espèces. Payment by cheques, cash.",
LFCG,SAINT GIRONS ANTICHAN,100LL,43.007778,1.103056,10 - AVT : Carburant / Fuel : 100LL. Lubrifiant / Lubricant : W 80. Paiement en espèce ou en CB / Cash or credit card payment,
LFCH,ARCACHON LA TESTE DE BUCH,100LL|JET_A1|SUPER_PLUS|UL_AERO,44.596944,-1.113889,"← 10 - AVT : Carburant / Fuel : UL AERO SUPER+, 100LL, JET A1. AVT automatique disponible avec carte TOTAL et CB (uniquement 100LL et AERO SUPER+). Automatic fuel dispenser available with TOTAL card and Credit Card (only for 100LL and AERO SUPER+). Non porteurs de carte, contacter la TWR pendant les",
LFCI,ALBI LE SEQUESTRE,100LL|JET_A1,43.913333,2.116667,"10 - AVT : Carburants / Fuel : 100 LL - JET A1. Lubrifiant / Lubricant : NIL . Automate H24 (carte AIR TOTAL) / Automaton station H24 (AIR TOTAL card). HOR ATS : espèces ou carte bancaire acceptées / Cash payment or credit card accepted. En dehors de ces HOR, PPR PN 24 HR / Outside these SKED, PPR P",
LFCJ,JONZAC NEULLES,100LL|JET_A1,45.483056,-0.423056,10 - AVT : Carburant / Fuel : 100 LL - JET A1 - Carte TOTAL / TOTAL card. Paiement en espèces possible avec PPR / Cash payment is possible upon PPR.,
LFCK,CASTRES MAZAMET,100LL|JET_A1,43.555000,2.290556,"10 - AVT : Carburants / Fuel : 100 LL, JET A1 - Lubrifiants / Lubricants : NIL. HOR RFFS uniquement / RFFS SKED only. Paiement : CB, Carte BP / Payment : credit Card, BP card.",
LFCL,TOULOUSE LASBORDES,100LL,43.587778,1.498611,"10 - AVT : 100 LL, lubrifiants / lubricants : W80, W100 (CIV-MIL) H 24 uniquement par carte TOTAL / H 24 only for TOTAL card.",
LFCM,MILLAU LARZAC,100LL,43.989167,3.183333,"10 - AVT : Carburants / Fuel : 100LL. Lubrifiants / Lubricants : NIL. Automate H24, carte TOTAL / H24 dispenser, TOTAL credit card.",
LFCN,NOGARO,100LL,43.768889,-0.034722,10 - AVT : Carburant / Fuel : 100LL sans automate / no automatic dispenser Lubrifiant / Lubricant : 80 (CIV-MIL) HJ. Paiement comptant ou carte crédit TOTAL / Cash payment or TOTAL credit card.,
LFCO,OLORON HERRERE,100LL,43.164722,-0.560278,10 - AVT : Carburant / Fuel : 100LL ; voir HOR ACB / see ACB SKED.,
LFCP,PONS AVY,100LL,45.565833,-0.513611,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiants / Lubricants : NIL. (CIV - MIL) HJ - Paiement comptant par chèque ou espèces. Payment in cash or cheque.,
LFCQ,GRAULHET MONTDRAGON,100LL,43.768611,2.007778,"10 - AVT : Carburant / Fuel : 100 LL. Station automatique H24 (carte TOTAL). Paiement comptant, chèque / Cash payment, cheque. O/R ACB de Graulhet PN 48 HR MNM. Inscription sur/ Registration on : https://www.aeroclub-graulhet.com/informations-generaleslfcq/",
LFCR,RODEZ AVEYRON,100LL|JET_A1,44.407500,2.483333,← 10 - AVT : Horaires d'ouverture : voir NOTAM / Opening hours : see NOTAM. JET A1 disponible durant les horaires d'ouverture du service avitaillement. En dehors de ces heures l'avitaillement peut être fourni sur PPR 48HR par e-mail : handling@aeroport-rodez.fr / JET A1 available during refueling se,
LFCS,BORDEAUX LEOGNAN SAUCATS,100LL|UL91,44.699167,-0.597222,← 10 - AVT : 100 LL/UL 91 PPR 06 77 63 68 41. Carte de crédit / Credit card Lubrifiants / Lubricants : NIL.,
LFCT,THOUARS,,46.961944,-0.152778,10 - AVT : Carburant / Fuel : NIL. Pas de fourniture de lubrifiant / No supply of lubricant (CIV-MIL) HX. O/R ACB.,
LFCU,USSEL THALAMY,100LL|SUPER_PLUS,45.535833,2.424722,"10 - AVT : Carburant / Fuel 100 LL. SP 98 HX. Paiement comptant ou par chèque / Cheque or cash payment. PPR pour la délivrance des carburants et paiement comptant, chèque ou carte bleue. PPR for fuel delivery and cash payment, cheque or credit card.",
LFCV,VILLEFRANCHE DE ROUERGUE,100LL|SUPER_PLUS,44.368889,2.026944,"← 10 - AVT : Carburant / Fuel : 100LL, SP 98 - Lubrifiant / Lubricant : D 80 (CIV MIL). HJ sur / on PPR ACB.",
LFCW,VILLENEUVE SUR LOT,100LL,44.399167,0.759444,10 - AVT : Carburant / Fuel 100 LL - Lubrifiants / Lubricant : NIL. HX chèque ou espèces (contact ACB au préalable) / cheques or cash (prior contact ACB). H 24 carte TOTAL (automate) / TOTAL card (automatic dispenser).,
LFCX,CASTELSARRASIN MOISSAC,100LL,44.085833,1.126944,10 - AVT : Carburant / Fuel : 100 LL. Automate par carte bancaire H24. / Automatic dispenser with credit card H24.,
LFCY,ROYAN MEDIS,100LL|JET_A1,45.631111,-0.975556,"10 - AVT : Automate 100LL : carte TOTAL et CB H24 / 100LL automatic dispenser: TOTAL card and credit card H24. Automate Jet A1 : carte TOTAL H24, ou CB pendant HOR ATS / Jet A1 automatic dispenser : TOTAL card H24, or credit card accepted ATS SKED only.",
LFCZ,MIMIZAN ASSOLLANT LEFEVRE ET LOTTI,100LL,44.145833,-1.164722,"10 - AVT : Carburant / Fuel : 100 LL H24 Paiement, cartes de crédit VISA, MASTERCARD. Cash, credit cards VISA, MASTERCARD.",
LFDA,AIRE SUR L'ADOUR,UL91,43.708611,-0.247222,10 - AVT : Carburant / Fuel : UL91. TEL : 07 82 77 32 56. Paiement : Carte Bancaire / Payment : Credit Card.,
LFDB,MONTAUBAN,100LL,44.026667,1.376944,"10 - AVT : Carburant / Fuel : 100 LL. Lubrifiant assuré en dépannage / Lubricant : emergency supply only (AERO DM 15W50) 0800-1100, 1300-1800. CB Visa Mastercard (Automate 100 LL) / Credit Card Visa Mastercard (Fuel dispenser 100 LL) MIL : TRO - F34 uniquement / only. PPR du / from 9ème RSAM - TEL :",
LFDC,MONTENDRE MARCILLAC,UL91,45.273611,-0.453333,"10 - AVT : Carburant / Fuel UL 91 seulement / only : 0800-1100, 1300-1700. Paiement par chèque, carte de crédit ou en espèces / Cheques, credit card or cash payment.",
LFDE,EGLETONS,UL91,45.420556,2.067778,10 - AVT : Carburant / Fuel: UL 91 HX. Paiement comptant carte bancaire uniquement / Card only. Gestion Aéroclub / ACB management : TEL : 05 55 93 09 50. Lubrifiant / Lubricant: NIL.,
LFDF,SAINTE FOY LA GRANDE,100LL,44.852500,0.175556,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiant / Lubricant : 80. (CIV-MIL) O/R : ACB Cercle Aéronautique Foyen Paiement comptant / Cash payment .,
LFDG,GAILLAC LISLE SUR TARN,,43.883056,1.874167,10 - AVT : NIL.,
LFDH,AUCH GERS,100LL|JET_A1,43.686944,0.600000,"10 - AVT : Carburant / Fuel 100 LL - JET A1 (CIV-MIL) - Lubrifiants / Lubricants : NIL. Station automatique TPV carte TOTAL / Automatic station TPV TOTAL card : H24. HOR ATS : carte de credit VISA, Mastercard ou paiement comptant. PPR en dehors de ces HOR. ATS SKED : VISA credit card, Mastercard or ",
LFDI,LIBOURNE ARTIGUES DE LUSSAC,100LL,44.984167,-0.137222,"← 10 - AVT : 100 LL (CIV-MIL). LUN-VEN / MON-FRI 0800-1600, O/R PN 48 HR par TEL exploitant / by TEL operator. Paiement : par virement ou internet (www.payfip.gouv.fr), pas d'espèces ni de chèque. Payment : by transfer or internet (www.payfip.gouv.fr), no cash, no cheque.",
LFDJ,PAMIERS LES PUJOLS,100LL|JET_A1,43.090556,1.695833,"10 - AVT : Carburants : 100 LL. AVGAS, JET A1. Station automatisée TPV carte TOTAL. Lubrifiant : NIL. HOR AFIS. Paiement carte TOTAL, chèques français, paiement en espèces accepté. Fuel : 100 LL, AVGAS, JET A1. Automatic station TPV TOTAL card. Lubricant: NIL. AFIS SKED. Payment: TOTAL card, French ",
LFDK,SOULAC SUR MER,100LL|JET_A1,45.493889,-1.083889,← 10 - AVT : Carburants / Fuel : 100LL - JET A1 (CIV - MIL). Carte TOTAL / TOTAL card H24. Lubrifiants / Lubricants : NIL.,
LFDL,LOUDUN,100LL,47.036111,0.100833,"← 10 - AVT : Carburant / Fuel : 100LL - Lubrifiant / Lubricant : 80-100. Automate par carte TOTAL. Paiement comptant (espèces - CB - chèque). PN 2 HR : TEL : 07 66 57 42 61. Automatic dispenser with TOTAL card. Cash payment (cash, credit card, cheque). PN 2 HR: TEL : + 33 (0)7 66 57 42 61.",
LFDM,MARMANDE VIRAZEIL,100LL,44.499167,0.200278,10 - AVT : Carburant / Fuel : 100LL. Lubrifiant / Lubricant : AERO DM. Automate SR-SS / Automatic dispenser SR-SS . Paiement : carte TOTAL / Payment : TOTAL card.,
LFDN,ROCHEFORT CHARENTE-MARITIME,100LL|JET_A1,45.889444,-0.982222,← 10 - AVT : Carburants / Fuel : 100 LL - JET A1. LUN-DIM : 0800-1600. Libre Service MON-SUN : 0800-1600. Self-service. Paiement / Payment : CB / AVCARD.,
LFDP,SAINT PIERRE D'OLERON,100LL|SUPER_PLUS,45.957778,-1.311389,10 - AVT : Carburants / Fuel : 100LL. Lubrifiants / Lubricants : 80 D (CIV) HX. Automate TOTAL / TOTAL dispenser. SP 98 au / at club ULM. Paiement espèces ou chèques / Payment cash or cheques .,
LFDQ,CASTELNAU MAGNOAC,100LL,43.277500,0.519444,10 - AVT : HX. Carburants / Fuel : 100LL - Lubrifiants / Lubricants : 15 W 50 TEL : ACB.,
LFDR,LA REOLE FLOUDES,,44.566944,-0.057222,10 - AVT : NIL.,
LFDS,SARLAT DOMME,100LL,44.792222,1.243611,"10 - AVT : Carburant / Fuel : 100 LL Automate carte TOTAL Energies / Automatic fuel dispenser TOTAL Energies card : H24. Cartes VISA ou Eurocard, espèces / VISA or Eurocard cards, cash : HX. Lubrifiants / Lubricants : NIL.",
LFDT,TARBES LALOUBERE,100LL|UL91,43.215000,0.077500,"10 - AVT : Carburants / Fuel TOTAL 100 LL et / and UL 91: station automatique de paiement par carte TOTAL ou aux heures d'ouvertures de l'aéroclub de Bigorre par carte bancaire (VISA, MASTERCARD) / automatic dispenser by TOTAL card or during ACB de Bigorre SKED by credit card (VISA, MASTERCARD).",
LFDU,LESPARRE SAINT LAURENT MEDOC,100LL,45.196389,-0.884722,"← 10 - AVT : Carburant / Fuel : 100LL , SR-SS. O/R exploitant par / by TEL.",
LFDV,COUHE VERAC,100LL|SUPER_PLUS,46.270556,0.188333,← 10 - AVT : Carburant / Fuel : 100 LL - SP98 - O/R ACB. Lubrifiant / Lubricant : NIL.,
LFDW,CHAUVIGNY,100LL,46.583333,0.642222,10 - AVT : 100 LL - espèces ou chèques bancaires / sur PPR / with PPR.,
LFDX,FUMEL MONTAYRAL,100LL,44.459167,1.007222,"10 - AVT : Carburant / Fuel : 100 LL Lubrifiant / Lubricant : W 80 (CIV) HX - O/R ACB - Paiement comptant, chèques ou espèces / Cheques or cash payment.",
LFDY,BORDEAUX YVRAC,100LL,44.877222,-0.479167,10 - AVT : Carburant / Fuel : 100LL - Lubrifiant / Lubricant : W 80 (CIV-MIL) HJ.,
LFEA,BELLE ILE,100LL,47.326111,-3.198889,10 - AVT : Carburant / Fuel : 100 LL. Lubrifiant / Lubricant : NIL. Uniquement en dehors des HOR ATS / only outside ATS SKED . Paiement comptant / Cash payment . Pas d'avitaillement entre le 15/11 et le 01/03 ; du 02/03 au 30/04 inclus : AVT non assuré le mercredi. No fuel between 15/11 and 01/03 ; ,
LFEB,DINAN TRELIVAN,100LL,48.443333,-2.103333,10 - AVT : Carburant / Fuel 100 LL. Paiement uniquement sur automate par carte de crédit ou carte TOTAL / Payment only on the automatic dispenser by credit card or TOTAL card.,
LFEC,OUESSANT,,48.463333,-5.063611,10 - AVT : NIL.,
LFED,PONTIVY,,48.056944,-2.923333,← 10 - AVT : AVGAS paiement par CB / payement with CB.,
LFEF,AMBOISE DIERRE,100LL,47.340556,0.941111,10 - AVT : Carburant / Fuel : 100LL. Station en libre service par automate avec carte TOTAL. Self-service station with dispenser TOTAL credit card.,
LFEG,ARGENTON SUR CREUSE,100LL,46.595833,1.601111,10 - AVT : Carburant / Fuel : 100 LL. PPR PN 24 HR auprès de l'exploitant / from AD operator. Paiement comptant chèque ou espèces / Cash payment cheque or cash.,
LFEH,AUBIGNY SUR NERE,100LL,47.479722,2.392778,← 10 - AVT : Carburant / Fuel : TOTAL : 100 LL O/R PN 1 HR TEL : ACB. PPR 24 HR E-mail.,
LFEI,BRIARE CHATILLON,100LL,47.614444,2.781944,← 10 - AVT : Carburants / Fuel : 100 LL (CIV-MIL). Lubrifiants / Lubricants : NIL. 0700-1600 sauf MER / except WED. Chèque bancaire préféré. / Bank cheque preferred.,
LFEJ,CHATEAUROUX VILLERS,100LL,46.840833,1.620000,"10 - AVT : AVGAS 100 LL : Automate, paiement CB exclusivement / Automatic dispenser, credit card only (SR-30, SS+30).",
LFEK,ISSOUDUN LE FAY,,46.888611,2.041389,10 - AVT : NIL.,
LFEL,LE BLANC,,46.620000,1.085833,10 - AVT : NIL.,
LFEM,MONTARGIS VIMORY,100LL,47.960556,2.685833,10 - AVT : Carburant / Fuel : 100 LL Automate H24 Paiement comptant et carte TOTAL Automatic dispenser H24 Cash payment and TOTAL card.,
LFEN,TOURS SORIGNY,,47.266389,0.699167,← 10 - AVT : NIL.,
LFEP,POUILLY MACONGE,,47.220556,4.560278,10 - AVT : Réservé / Reserved ACB.,
LFEQ,QUIBERON,100LL|JET_A1,47.481389,-3.101667,"10 - AVT : Carburant / Fuel : AVGAS 100LL / JET A1 Automate / automatic dispenser AIR TOTAL H24. Pendant les horaires ATS / During ATS SKED : TEL ATS ou / or E-mail ATS. Absence ATS PPR 48 HR - TEL : 02 97 30 24 00 ou / or E-mail ATS. Lubrifiants / Lubricants : NIL Paiement / Payment : Carte TOTAL, ",
LFER,REDON BAINS SUR OUST,,47.698611,-2.038056,10 - AVT : NIL.,
LFES,GUISCRIFF SCAER,100LL,48.053611,-3.664167,10 - AVT : Carburants / Fuel : 100 LL. Lubrifiants / Lubricants : 100 : H 24 si paiement par carte TOTAL / H 24 if payment by TOTAL card . Paiement par carte TOTAL. Payment by TOTAL card.,
LFET,TIL CHATEL,100LL,47.546389,5.210833,10 - AVT : Carburant / Fuel : 100 LL - Lubrifiant / Lubricant : 80-100.,
LFEU,BAR LE DUC LES HAUTS DE CHEE,,48.868889,5.188611,10 - AVT : NIL.,
LFEV,GRAY SAINT ADRIEN,100LL|JET_A1,47.432222,5.621389,"10 - AVT : Carburant / Fuel : 100 LL et / and JET A1, H24 et / and 7j/7 / 7 days on 7. Lubrifiant / Lubricants : possible. S'adresser à / Contact JG Aviation. Paiement carte TOTAL uniquement sur automate / Payment by TOTAL card only on automatic dispenser.",
